[987]: 0-0	IORB created: 987
[2712]: 0-0	IORB created: 2712
[15618]: 0-4	IORB created: 15618
[16818]: 4-3	IORB created: 15799
[17807]: 3-4	IORB created: 17133
[29302]: 4-0	IORB created: 29302
[35209]: 0-6	IORB created: 35209
[36809]: 6-6	IORB created: 35996
[37809]: 6-5	IORB created: 37014
[41821]: 5-5	IORB created: 41821
[49152]: 5-7	IORB created: 49152
[50552]: 7-8	IORB created: 49931
[51952]: 8-0	IORB created: 49289
[53152]: 0-7	IORB created: 52864
[54952]: 7-8	IORB created: 54135
[56352]: 8-7	IORB created: 53535
[57352]: 7-8	IORB created: 51159
[58752]: 8-7	IORB created: 53350
[59752]: 7-8	IORB created: 49734
[61152]: 8-7	IORB created: 51184
[62152]: 7-8	IORB created: 61517
[63552]: 8-9	IORB created: 62527
[64952]: 9-7	IORB created: 59652
[65952]: 7-8	IORB created: 58960
[67352]: 8-7	IORB created: 49997
[146294]: 7-1	IORB created: 144514
[159589]: 1-6	IORB created: 159589
[161291]: 6-6	IORB created: 161291
[162291]: 6-1	IORB created: 161692
[163091]: 1-6	IORB created: 162688
[164944]: 6-1	IORB created: 164944
[165756]: 1-5	IORB created: 165756
[185435]: 5-8	IORB created: 185435
[197528]: 8-6	IORB created: 197528
[224449]: 6-8	IORB created: 224449
[227944]: 8-8	IORB created: 227944
[248097]: 8-8	IORB created: 248097
[249297]: 8-8	IORB created: 249196
