[18]: 0-1	IORB created: 18
[63]: 1-0	IORB created: 63
[165]: 0-0	IORB created: 165
[195]: 0-0	IORB created: 195
[325]: 0-3	IORB created: 325
[400]: 3-0	IORB created: 400
[563]: 0-2	IORB created: 563
[623]: 2-0	IORB created: 623
[847]: 0-4	IORB created: 847
[937]: 4-0	IORB created: 937
[997]: 0-1	IORB created: 976
[1042]: 1-0	IORB created: 1042
[1072]: 0-1	IORB created: 1072
[1117]: 1-2	IORB created: 1100
[1177]: 2-4	IORB created: 1059
[1252]: 4-0	IORB created: 1177
[1312]: 0-0	IORB created: 1252
[1342]: 0-0	IORB created: 1117
[1744]: 0-1	IORB created: 1744
[1789]: 1-0	IORB created: 1789
[2663]: 0-3	IORB created: 2663
[2738]: 3-0	IORB created: 2738
[2783]: 0-2	IORB created: 2767
[2843]: 2-1	IORB created: 2843
[2919]: 1-4	IORB created: 2919
[3009]: 4-1	IORB created: 3009
[3577]: 1-5	IORB created: 3577
[3682]: 5-1	IORB created: 3577
[3727]: 1-5	IORB created: 3682
[3832]: 5-1	IORB created: 3820
[3877]: 1-1	IORB created: 3727
[3922]: 1-1	IORB created: 3877
[4531]: 1-3	IORB created: 4531
[4606]: 3-0	IORB created: 4606
[4885]: 0-3	IORB created: 4885
[4960]: 3-2	IORB created: 4898
[5005]: 2-0	IORB created: 4960
[5050]: 0-2	IORB created: 5037
[5110]: 2-0	IORB created: 5005
[5155]: 0-2	IORB created: 5001
[5215]: 2-0	IORB created: 5110
[5260]: 0-0	IORB created: 5215
[5627]: 0-4	IORB created: 5627
[5717]: 4-0	IORB created: 5717
[5836]: 0-3	IORB created: 5836
[5911]: 3-0	IORB created: 5911
[5986]: 0-2	IORB created: 5986
[6046]: 2-0	IORB created: 6046
[6199]: 0-0	IORB created: 6199
[6229]: 0-0	IORB created: 6229
[6741]: 0-4	IORB created: 6741
[6831]: 4-0	IORB created: 6831
[7030]: 0-1	IORB created: 7030
[7075]: 1-13	IORB created: 7055
[7300]: 13-0	IORB created: 7075
[7420]: 0-2	IORB created: 7106
[7480]: 2-10	IORB created: 7300
[7645]: 10-0	IORB created: 7480
[7919]: 0-0	IORB created: 7919
[7949]: 0-0	IORB created: 7949
[8002]: 0-5	IORB created: 8002
[8107]: 5-9	IORB created: 8055
[8242]: 9-0	IORB created: 8127
[8332]: 0-5	IORB created: 8242
[8437]: 5-0	IORB created: 8332
[8497]: 0-5	IORB created: 8342
[8602]: 5-0	IORB created: 8107
[8662]: 0-0	IORB created: 8602
[8801]: 0-2	IORB created: 8801
[8861]: 2-0	IORB created: 8823
[8906]: 0-0	IORB created: 8861
[8936]: 0-0	IORB created: 8906
[9632]: 0-5	IORB created: 9632
[9737]: 5-0	IORB created: 9737
[9853]: 0-5	IORB created: 9853
[9958]: 5-1	IORB created: 9910
[10003]: 1-0	IORB created: 10000
[10033]: 0-1	IORB created: 9958
[10078]: 1-0	IORB created: 10003
[10108]: 0-5	IORB created: 10078
[10213]: 5-0	IORB created: 10108
[10273]: 0-0	IORB created: 9966
[10303]: 0-3	IORB created: 10303
[10378]: 3-0	IORB created: 10378
[10539]: 0-4	IORB created: 10539
[10629]: 4-0	IORB created: 10629
[10892]: 0-0	IORB created: 10892
[10922]: 0-0	IORB created: 10922
[11118]: 0-2	IORB created: 11118
[11178]: 2-11	IORB created: 11137
[11358]: 11-0	IORB created: 11178
[11463]: 0-4	IORB created: 11358
[11553]: 4-10	IORB created: 11553
[11806]: 10-7	IORB created: 11806
[11866]: 7-5	IORB created: 11866
[12087]: 5-3	IORB created: 12087
[12132]: 3-2	IORB created: 12096
[12177]: 2-0	IORB created: 12132
[12222]: 0-0	IORB created: 12177
[12425]: 0-4	IORB created: 12425
[12515]: 4-0	IORB created: 12515
[12605]: 0-0	IORB created: 12605
[12635]: 0-0	IORB created: 12635
[12706]: 0-2	IORB created: 12706
[12766]: 2-3	IORB created: 12766
[12826]: 3-0	IORB created: 12826
[12989]: 0-14	IORB created: 12989
[13229]: 14-18	IORB created: 13061
[13424]: 18-0	IORB created: 13302
[13589]: 0-1	IORB created: 13573
[13634]: 1-2	IORB created: 13424
[13694]: 2-3	IORB created: 13198
[13754]: 3-4	IORB created: 13634
[13829]: 4-9	IORB created: 13589
[13964]: 9-16	IORB created: 13694
[14174]: 16-2	IORB created: 13829
[14294]: 2-3	IORB created: 13896
[14354]: 3-4	IORB created: 13964
[14429]: 4-0	IORB created: 14294
[14489]: 0-4	IORB created: 14354
[14579]: 4-5	IORB created: 14429
[14654]: 5-0	IORB created: 14595
[14714]: 0-4	IORB created: 13754
[14804]: 4-0	IORB created: 14714
[14864]: 0-4	IORB created: 13229
[14954]: 4-0	IORB created: 14804
